cc_no,pos_dt,cc_txn_amt
2,3,4600
2,4,18700
2,5,1600
2,6,2000
4,5,300000
4,6,240000
5,1,7000
5,2,5000
6,6,32000
7,1,900
7,2,2300
7,3,2200
7,4,1200
7,5,2800
7,6,6800
9,3,2000
9,4,4000
9,5,2000
11,1,2500
11,2,2500
11,3,2500
11,4,3200
11,5,2000
13,4,5400
13,5,1400
13,6,2000
14,1,7700
14,2,4100
14,3,13600
14,4,19400
14,5,8300
14,6,900
15,1,3300
15,2,2000
15,3,300
15,4,5700
15,5,6800
15,6,900
16,1,4000
16,5,5000
16,6,3300
19,5,2000
20,4,9000
21,3,5300
21,4,18800
21,5,9500
21,6,3100
22,2,300
22,3,300
22,5,300
28,1,1500
28,2,2500
28,4,100
29,1,1600
29,3,2900
29,4,1600
29,6,1500
30,5,6000
32,1,7300
32,2,14300
32,3,3700
32,4,18100
32,5,35400
32,6,15600
33,1,19100
33,2,2200
33,3,6800
33,4,5700
33,5,2200
33,6,2200
34,1,7000
34,2,2000
34,5,4000
34,6,1000
35,5,11000
38,4,9000
38,5,300
39,1,11800
39,2,1000
39,3,8800
39,4,6600
39,5,8500
39,6,2000
41,1,3900
41,2,2500
41,3,3000
41,5,1000
41,6,3000
42,1,3700
42,2,11400
42,3,5300
42,4,19900
42,5,12600
42,6,6600
43,1,100
43,2,200
43,3,400
43,4,9800
43,5,300
44,2,4000
44,4,9000
44,6,2000
45,3,5000
45,4,5000
45,5,5000
45,6,2000
46,1,14000
47,4,4500
47,5,4600
49,1,2700
49,2,3700
49,4,1700
49,5,1000
51,1,5500
51,4,4200
51,5,1300
51,6,1800
52,4,3700
52,6,4800
53,1,1900
53,2,2400
53,3,2800
53,4,13000
53,5,700
54,1,2100
56,1,5100
56,2,700
56,3,11700
56,4,1600
56,5,9100
56,6,2000
59,1,1000
59,5,2000
62,2,1300
62,4,1200
62,5,500
63,1,4000
64,3,10000
64,5,10000
65,2,2500
65,3,2900
65,4,2900
65,5,8400
66,1,1100
66,2,7200
66,3,4800
66,4,2800
66,5,5600
66,6,8200
67,1,4500
67,2,5400
67,3,7500
67,4,8800
67,5,7000
67,6,4600
68,2,14600
68,3,8400
68,4,1600
68,5,16800
68,6,19700
70,5,2600
70,6,12200
73,1,3600
73,2,3600
73,3,3700
73,5,3600
73,6,3600
74,1,70000
77,1,1400
77,2,800
77,3,2300
77,4,4500
77,5,1800
77,6,2700
78,2,2200
78,3,6100
78,4,5400
78,5,30500
78,6,4400
80,1,2500
80,3,3700
80,4,3000
80,5,3000
80,6,3000
82,6,7000
83,4,2000
84,1,5800
84,2,12300
84,3,5700
84,4,2000
84,6,2100
86,1,12500
86,5,3600
88,5,6000
88,6,200
89,3,5000
90,1,12000
94,1,300
95,1,7800
95,5,2100
96,1,5000
96,2,26900
96,3,11500
96,4,15500
96,5,6900
96,6,16900
97,1,30600
97,2,2900
97,3,1600
97,4,5200
97,5,2200
97,6,16300
100,1,2200
100,2,4800
100,3,25000
100,4,9400
100,6,4000
101,1,3800
101,2,7300
101,3,4500
101,6,4600
102,1,600
102,2,6600
102,3,600
102,4,600
102,5,3400
102,6,1400
104,1,9100
104,3,3100
104,4,600
104,5,1000
104,6,1000
105,1,7200
105,2,4600
105,3,500
105,4,3600
105,5,2300
105,6,1800
107,3,4800
107,6,3000
108,4,3000
110,6,8000
111,1,10000
111,2,45000
111,3,15000
111,4,5000
111,5,5000
111,6,24000
112,4,16000
112,5,16000
112,6,14000
114,1,8800
114,2,3200
114,3,8300
114,4,25900
114,5,24900
114,6,16700
115,3,2500
115,4,9500
117,6,13500
119,1,30000
119,2,25000
119,5,29000
120,1,10300
120,2,17900
120,3,14800
120,4,17100
120,5,34500
120,6,22100
121,1,5400
121,2,3000
121,3,80300
121,4,24900
121,5,51700
121,6,37700
123,1,10800
123,2,4500
123,3,9400
123,4,1600
123,5,3900
123,6,2000
124,1,3200
124,2,2000
124,3,26300
124,4,5500
124,5,28500
124,6,12000
127,2,1000
127,4,500
130,1,3000
130,2,3000
130,3,1500
130,4,2000
130,5,1000
131,5,6000
132,1,700
132,2,1000
132,3,1300
132,4,1700
132,5,800
132,6,700
133,6,1500
134,1,14900
134,2,4500
134,3,13100
134,4,5900
134,5,10800
134,6,10800
135,2,5200
135,3,14500
136,3,14000
136,5,400
136,6,1600
137,5,5600
137,6,2500
138,4,5000
138,6,5000
139,1,2800
139,2,46000
139,3,6700
139,4,7500
139,5,3400
139,6,23400
140,1,2300
140,2,2300
140,3,2300
140,4,11700
140,5,2300
140,6,2300
141,1,500
141,2,500
141,4,800
141,5,600
141,6,900
143,3,29000
144,1,900
144,2,3000
144,3,27500
144,4,1700
144,5,1200
144,6,17200
145,3,15000
145,4,6000
146,1,1000
146,2,18000
146,3,1500
146,4,1500
146,6,500
147,2,3500
147,3,5300
147,4,300
147,5,2000
147,6,2800
149,4,500
149,5,21900
149,6,8300
150,3,1700
150,5,6600
150,6,2500
153,1,5600
153,2,8900
153,3,1600
153,4,10000
153,5,6200
153,6,7900
154,2,7400
154,3,61600
154,4,110800
154,5,14500
154,6,1200
155,1,1600
155,3,800
155,4,1000
159,2,500
159,3,500
159,5,800
159,6,500
160,2,1200
160,5,600
161,4,3200
161,5,2900
162,1,7300
162,2,7800
162,3,15200
162,4,7000
162,5,11200
162,6,9800
163,1,3700
163,2,2600
163,3,6500
163,4,2100
163,6,3900
164,1,5000
164,2,10200
164,3,4700
164,4,4300
164,5,9300
164,6,5800
165,1,2600
165,2,17400
165,3,6700
165,4,5400
165,5,5100
165,6,27900
168,2,3000
168,4,3300
168,5,3500
168,6,3000
169,1,4700
169,3,7800
169,5,81000
169,6,17600
170,1,1400
170,3,2600
170,4,1400
170,5,1400
173,1,13000
173,2,13000
176,1,3600
176,2,3900
176,3,3300
176,4,3600
176,5,3600
177,2,2100
177,4,2300
177,5,2800
177,6,600
178,1,400
178,2,2400
178,3,1000
178,4,6300
178,5,2700
178,6,3000
179,1,3000
179,2,1000
179,3,2000
179,5,2000
179,6,1000
180,1,3200
180,2,6700
180,3,9700
180,4,8500
180,5,7300
180,6,3500
181,2,1300
181,3,11700
181,4,1800
181,5,23800
181,6,1000
183,2,1600
184,3,8800
184,4,24800
184,5,5300
184,6,13500
185,2,15000
185,4,300
185,5,16000
185,6,10000
186,1,10000
186,2,3000
186,3,3400
186,4,5700
186,5,1300
186,6,4300
190,4,1400
190,5,3000
192,1,40000
192,2,57200
192,3,108900
192,4,105300
192,5,35500
192,6,124800
195,1,26600
195,2,6300
195,3,7200
195,4,9800
195,5,9000
195,6,17100
197,1,2000
197,2,6500
197,3,3400
197,4,1500
197,6,500
199,1,20000
199,2,20000
199,3,6000
199,4,20000
199,5,20000
199,6,23000
200,6,1700
202,1,2000
202,3,900
202,4,10000
202,6,3800
203,5,1800
203,6,18000
205,2,8700
205,3,609200
205,4,243500
205,5,360100
205,6,595600
207,1,55300
207,2,4400
207,3,6400
207,4,35300
207,5,32100
207,6,11900
208,1,1400
208,2,300
208,3,4100
208,4,25600
208,5,1800
208,6,800
209,1,3000
209,2,3300
209,3,3100
209,4,3200
209,5,1100
209,6,3300
210,6,1600
213,1,2900
213,2,2000
213,6,6700
214,6,6000
215,1,1900
215,2,1200
215,3,20100
215,6,2800
216,1,6600
216,5,17500
216,6,2200
217,1,28300
217,2,2600
217,3,500
217,4,4600
217,5,44100
217,6,1000
219,1,2500
219,2,2200
219,3,2300
219,5,3100
219,6,3300
221,2,5200
221,4,4500
221,5,4000
221,6,4700
222,1,11300
222,3,600
222,4,1100
222,5,1200
222,6,1500
223,5,63300
223,6,23000
224,2,2000
224,5,8000
225,1,9000
226,2,1000
227,1,5100
227,2,6400
227,3,6100
227,4,4100
227,5,2800
227,6,9000
228,4,13000
228,5,12000
229,1,1200
229,2,2700
229,3,500
229,4,1500
229,5,2900
229,6,1900
230,1,5000
230,2,5500
230,3,5000
230,4,5000
231,1,2500
231,2,1400
231,3,3200
231,4,3200
231,5,3200
231,6,3200
234,4,7000
234,5,10400
234,6,4900
236,1,1300
236,2,23500
236,3,1400
236,4,28000
236,5,6700
236,6,9200
237,1,21600
237,2,2300
237,3,4800
237,4,4100
237,5,10600
237,6,2700
238,1,49500
238,2,6600
238,3,7100
238,4,39400
238,5,9400
238,6,5300
239,2,8000
239,3,14100
239,5,5000
239,6,10000
240,3,4000
240,4,15000
241,1,2300
241,2,3300
241,3,4000
241,4,5200
241,5,3500
241,6,2800
242,1,1300
242,3,1500
242,4,700
242,6,200
244,1,4300
244,2,7400
244,3,8500
244,4,7200
244,5,1500
244,6,4500
245,1,4000
245,2,2000
245,3,4000
245,5,8800
247,5,8400
247,6,17600
250,1,5000
250,2,8000
250,3,38000
250,4,1900
250,6,4600
252,2,3000
252,3,1000
252,6,5000
253,1,3300
253,2,4300
253,4,5000
253,5,4800
253,6,10500
254,5,10000
254,6,5000
255,1,2200
255,2,3000
255,4,2800
255,5,2800
255,6,2700
257,2,40000
257,5,20000
257,6,3000
258,1,27700
258,2,6700
258,3,17100
258,5,1000
258,6,11800
265,4,55600
265,5,58200
265,6,4800
267,1,500
267,2,1800
267,3,4200
267,4,900
267,5,6300
267,6,1800
268,6,3600
269,1,11400
269,2,5700
269,3,33600
269,4,3100
269,5,4700
269,6,2600
270,1,3000
271,1,4200
271,2,3000
271,3,22200
271,4,14700
271,5,3800
271,6,10200
272,6,30000
275,1,1000
275,3,1000
275,4,2000
275,5,1000
277,5,8000
278,1,1200
278,2,1400
278,3,7800
278,4,23900
278,5,800
278,6,23200
280,1,1000
280,4,1000
280,6,600
281,1,4100
281,2,500
281,3,19000
281,4,2600
281,5,5700
281,6,2000
283,1,500
283,2,700
283,4,500
283,5,1200
283,6,600
285,1,2800
285,2,2300
285,3,2700
285,4,2300
285,5,1600
285,6,2700
288,1,16600
288,2,36100
288,3,53300
288,4,60400
288,5,24800
288,6,24000
289,1,4000
289,2,2000
291,1,5900
291,2,3600
291,3,18300
291,4,14600
291,5,9100
291,6,5500
292,1,800
292,2,1000
292,5,700
292,6,800
293,1,76000
293,2,6800
293,3,48700
293,4,61100
293,5,13000
293,6,39100
294,1,700
294,3,1400
294,4,700
294,6,700
298,1,1000
298,2,1600
298,3,20000
298,5,6000
299,3,22200
299,4,400
299,5,9400
302,2,3300
302,3,5800
302,4,9100
302,5,1000
302,6,1700
303,1,5000
303,2,4700
303,3,6200
303,4,10600
303,5,6600
303,6,12200
304,5,400
304,6,1300
306,1,3200
306,2,20300
306,4,100
306,5,200
306,6,1100
308,1,2500
308,2,19300
308,3,14500
308,4,9700
308,6,2300
309,1,4500
309,3,1200
309,5,4500
309,6,2500
310,2,50000
310,4,20000
310,5,30000
310,6,25000
311,4,75100
311,5,900
312,3,2000
312,4,500
312,5,800
312,6,500
314,3,20100
314,4,2200
315,1,1500
315,3,1000
315,5,2000
316,1,2900
316,4,3500
316,5,2000
316,6,3500
318,1,1600
318,2,3400
318,3,800
318,4,2100
318,5,1000
321,1,21700
321,2,2800
321,3,2800
321,4,41200
321,5,21200
321,6,21700
322,1,2600
322,2,2400
322,3,59100
322,4,400
322,5,400
322,6,400
324,3,4000
324,4,2000
325,2,400
327,1,8600
327,2,12300
327,3,5800
327,4,8300
327,5,13400
327,6,23400
328,1,44700
328,3,500
328,4,300
328,5,300
328,6,10400
330,1,300
330,2,100
330,3,1700
330,5,2800
330,6,200
332,1,2000
332,2,81700
332,3,12200
332,4,4200
332,5,27400
332,6,4000
333,1,11400
333,2,7200
333,3,4600
333,4,1300
333,5,700
333,6,1700
334,1,12700
334,2,15800
334,3,5100
334,4,2400
334,5,20400
334,6,7500
335,5,19700
335,6,400
337,6,4100
338,1,73800
338,2,22700
338,3,6800
338,4,11200
338,5,83800
338,6,277700
339,2,6900
339,4,700
339,6,14500
340,1,3600
340,2,3400
340,3,35000
340,5,11200
340,6,7900
342,1,10000
342,4,1500
342,5,9000
343,2,2000
343,3,900
343,4,2800
343,5,2000
344,3,6900
344,5,11900
344,6,14000
346,1,20000
346,2,20700
346,3,5800
346,4,16900
346,5,27400
346,6,17100
347,3,79100
347,4,61000
347,5,66400
347,6,2200
350,3,1500
350,4,1200
352,1,10700
352,2,16900
352,4,6600
355,4,33800
355,5,94200
355,6,106100
357,1,3500
357,2,600
357,3,2800
357,4,2400
357,5,2600
357,6,3300
359,1,21700
359,2,10600
359,3,14000
359,4,37000
359,5,14400
359,6,1200
360,1,3700
360,2,500
